Price,Address,homeType,beds,baths,sq_feet,Status,Link,Unit Count
"$2,550/mo",6426-Lamine-Dr-Colorado-Springs-CO-80925,SINGLE_FAMILY,5,3.5,2761,FOR_RENT,www.zillow.com//homedetails/6426-Lamine-Dr-Colorado-Springs-CO-80925/319911765_zpid/,--
"$1,625+/mo","7761 Bear Run Poin, Colorado Springs, CO",--,1,1,838,FOR_RENT,www.zillow.com//b/lodge-at-black-forest-colorado-springs-co-BMNHjj/,86
"$1,471+/mo","1265 Capistrano Poin, Colorado Springs, CO",--,1,1,610,FOR_RENT,www.zillow.com//b/the-village-at-westmeadow-colorado-springs-co-BDW8j8/,5
"$1,641+/mo","6010 Prairie Hills Vw, Colorado Springs, CO",--,1,1,847,FOR_RENT,www.zillow.com//b/stetson-ridge-colorado-springs-co-5XhvnL/,15
"$2,100/mo",6741-Akron-Rd-Colorado-Springs-CO-80923,SINGLE_FAMILY,4,3,2115,FOR_RENT,www.zillow.com//homedetails/6741-Akron-Rd-Colorado-Springs-CO-80923/64899648_zpid/,--
"$1,400/mo",4552-Excalibur-Ct-Colorado-Springs-CO-80917,SINGLE_FAMILY,2,1.5,1056,FOR_RENT,www.zillow.com//homedetails/4552-Excalibur-Ct-Colorado-Springs-CO-80917/13584698_zpid/,--
"$1,700/mo",415-E-Pikes-Peak-Ave-405-Colorado-Springs-CO-80903,APARTMENT,0,1,536,FOR_RENT,www.zillow.com//homedetails/415-E-Pikes-Peak-Ave-405-Colorado-Springs-CO-80903/2074899125_zpid/,--
"$1,550/mo",2235-Whitewood-Dr-Colorado-Springs-CO-80910,SINGLE_FAMILY,4,1,1233,FOR_RENT,www.zillow.com//homedetails/2235-Whitewood-Dr-Colorado-Springs-CO-80910/13626291_zpid/,--
"$1,470+/mo","4275 Sanders Vw, Colorado Springs, CO",--,1,1,578,FOR_RENT,www.zillow.com//b/bellaire-ranch-%26-alturas-at-bellaire-ranch-colorado-springs-co-5XhvQr/,16
"$2,550/mo",4286-Morning-Glory-Rd-Colorado-Springs-CO-80920,SINGLE_FAMILY,4,4,2228,FOR_RENT,www.zillow.com//homedetails/4286-Morning-Glory-Rd-Colorado-Springs-CO-80920/13561776_zpid/,--
"$1,310+/mo","4760 Rusina Rd, Colorado Springs, CO",--,1,1,608,FOR_RENT,www.zillow.com//b/flats-at-pinecliff-colorado-springs-co-5XhvYn/,11
"$1,639+/mo","11124 Cedar Glen Vw, Colorado Springs, CO",--,1,1,723,FOR_RENT,www.zillow.com//b/the-overlook-at-interquest-apartments-colorado-springs-co-BHzKXt/,16
"$1,700/mo",1111-Farragut-Ave-A-Colorado-Springs-CO-80909,APARTMENT,2,1,1500,FOR_RENT,www.zillow.com//homedetails/1111-Farragut-Ave-A-Colorado-Springs-CO-80909/2069266721_zpid/,--
"$1,340+/mo","2505 E Pikes Peak Ave, Colorado Springs, CO",--,1,1,710,FOR_RENT,www.zillow.com//b/grand-view-colorado-springs-co-5Xhvk7/,6
"$1,595/mo",2629-Bannister-Ct-Colorado-Springs-CO-80920,TOWNHOUSE,2,1.5,960,FOR_RENT,www.zillow.com//homedetails/2629-Bannister-Ct-Colorado-Springs-CO-80920/13568033_zpid/,--
"$1,430+/mo","864 Oxford Ln, Colorado Springs, CO",--,1,1,610,FOR_RENT,www.zillow.com//b/sky-at-bear-creek-colorado-springs-co-9LmHxk/,9
"$1,850/mo",3170-Shikra-Vw-Colorado-Springs-CO-80916,TOWNHOUSE,3,3,1561,FOR_RENT,www.zillow.com//homedetails/3170-Shikra-Vw-Colorado-Springs-CO-80916/121867966_zpid/,--
"$1,609+/mo","4562 Continental Hts, Colorado Springs, CO",--,1,1,751,FOR_RENT,www.zillow.com//b/aliso-briargate-apartments-colorado-springs-co-BdvqLv/,14
"$1,640+/mo","1495 Farnham Poin, Colorado Springs, CO",--,1,1,605,FOR_RENT,www.zillow.com//b/oasis-apartments-colorado-springs-co-BTWtFy/,32
"$2,100/mo",7630-Sioux-Cir-N-Cir-CO-80915,SINGLE_FAMILY,5,3,3300,FOR_RENT,www.zillow.com//homedetails/7630-Sioux-Cir-N-Cir-CO-80915/181553877_zpid/,--
"$1,825/mo",4935-Ardley-Dr-Colorado-Springs-CO-80922,SINGLE_FAMILY,3,2,1837,FOR_RENT,www.zillow.com//homedetails/4935-Ardley-Dr-Colorado-Springs-CO-80922/13538536_zpid/,--
"$1,628+/mo","5520 Woodmen Ridge Vw, Colorado Springs, CO",--,1,1,790,FOR_RENT,www.zillow.com//b/estate-at-woodmen-ridge-colorado-springs-co-9kPXyW/,8
"$1,750/mo",525-Custer-Ave-Colorado-Springs-CO-80903,SINGLE_FAMILY,1,1,1141,FOR_RENT,www.zillow.com//homedetails/525-Custer-Ave-Colorado-Springs-CO-80903/13608490_zpid/,--
"$1,650+/mo","1203 Affirmed Vw, Colorado Springs, CO",--,0,1,529,FOR_RENT,www.zillow.com//b/springs-at-foothills-farm-colorado-springs-co-BbhHhC/,21
"$1,250/mo",7612-Clover-Hill-Dr-Colorado-Springs-CO-80920,SINGLE_FAMILY,2,1.5,992,FOR_RENT,www.zillow.com//homedetails/7612-Clover-Hill-Dr-Colorado-Springs-CO-80920/13566798_zpid/,--
"$1,808+/mo","2845 Freewood Pt, Colorado Springs, CO",--,1,1,701,FOR_RENT,www.zillow.com//b/commons-at-briargate-colorado-springs-co-BMHktW/,7
"$1,575+/mo","4510 Spring Canyon Hts, Colorado Springs, CO",--,1,1,740,FOR_RENT,www.zillow.com//b/artemis-at-spring-canyon-colorado-springs-co-5Xhvnc/,14
"$1,763+/mo","5824 Walsh Poin, Colorado Springs, CO",--,1,1,790,FOR_RENT,www.zillow.com//b/rockrimmon-colorado-springs-co-5hJ24C/,16
